epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,320.775,0.87306,1.68837,1.28519,0.38667,0.22194,0.14287,0.09997,1.60714,3.71575,2.18131,0.067117,0.000332151,0.000332151
2,616.507,0.91915,1.53402,1.3248,0.5048,0.21261,0.13841,0.09685,1.65798,4.16219,2.13352,0.0341104,0.000658896,0.000658896
3,912.912,0.90553,1.4847,1.31449,0.38652,0.23301,0.15265,0.1084,1.48322,3.63692,1.80452,0.00109724,0.000979041,0.000979041
4,1210.14,0.84038,1.30474,1.2714,0.44658,0.3653,0.34943,0.24006,1.3211,2.15834,1.73899,0.0009703,0.0009703,0.0009703
5,1505.49,0.79338,1.17589,1.23734,0.39842,0.41806,0.40606,0.29004,1.23549,1.88282,1.61809,0.0009604,0.0009604,0.0009604
6,1801.33,0.75639,1.07385,1.21237,0.56068,0.42022,0.43134,0.32594,1.17686,1.75688,1.53695,0.0009505,0.0009505,0.0009505
7,2096.26,0.73437,1.00585,1.1961,0.56359,0.45871,0.47014,0.3413,1.11297,1.70249,1.48666,0.0009406,0.0009406,0.0009406
8,2392.42,0.72059,0.97817,1.18596,0.63238,0.46074,0.45527,0.34134,1.10875,1.5088,1.46302,0.0009307,0.0009307,0.0009307
9,2688.02,0.70569,0.93222,1.18002,0.60185,0.48771,0.52924,0.39836,1.07605,1.51495,1.45062,0.0009208,0.0009208,0.0009208
10,2983.93,0.69341,0.89366,1.16663,0.49923,0.44113,0.46429,0.34407,1.11507,1.6688,1.50533,0.0009109,0.0009109,0.0009109
11,3278.69,0.68276,0.86064,1.15686,0.7275,0.46705,0.51008,0.39078,1.05126,1.50497,1.41058,0.000901,0.000901,0.000901
12,3574.02,0.66488,0.82903,1.14518,0.66581,0.44958,0.50358,0.37765,1.07881,1.48878,1.42418,0.0008911,0.0008911,0.0008911
13,3868.83,0.66611,0.81251,1.14581,0.73787,0.50355,0.54799,0.40676,1.0323,1.30874,1.409,0.0008812,0.0008812,0.0008812
14,4164.11,0.65261,0.79974,1.13699,0.66427,0.49305,0.52406,0.40167,1.06667,1.48472,1.4323,0.0008713,0.0008713,0.0008713
15,4458.92,0.65015,0.77414,1.13238,0.68561,0.50304,0.54988,0.41253,1.01841,1.38269,1.40651,0.0008614,0.0008614,0.0008614
16,4754.03,0.64248,0.7529,1.1267,0.7096,0.54157,0.60619,0.46001,1.01134,1.31034,1.3873,0.0008515,0.0008515,0.0008515
17,5049.57,0.63695,0.73821,1.12178,0.66894,0.55095,0.57654,0.43781,0.98554,1.29524,1.35781,0.0008416,0.0008416,0.0008416
18,5344.41,0.63114,0.72152,1.11787,0.64843,0.52348,0.57617,0.44773,0.9926,1.35405,1.35185,0.0008317,0.0008317,0.0008317
19,5639.14,0.62983,0.71258,1.11589,0.75623,0.54353,0.61134,0.4652,0.96545,1.2497,1.34589,0.0008218,0.0008218,0.0008218
20,5934.31,0.6163,0.69235,1.11133,0.66704,0.55974,0.60113,0.46343,0.97139,1.23159,1.33337,0.0008119,0.0008119,0.0008119
21,6229.6,0.62181,0.68345,1.10514,0.75309,0.53847,0.58967,0.46077,0.97555,1.21038,1.32977,0.000802,0.000802,0.000802
22,6524.49,0.61586,0.6692,1.10382,0.77217,0.54402,0.59894,0.46727,0.94525,1.20831,1.31952,0.0007921,0.0007921,0.0007921
23,6819.9,0.59734,0.6461,1.09471,0.67137,0.54649,0.62614,0.48903,0.97041,1.25175,1.32794,0.0007822,0.0007822,0.0007822
24,7115.04,0.6037,0.64723,1.09567,0.78555,0.54406,0.61842,0.47936,0.96268,1.17947,1.34151,0.0007723,0.0007723,0.0007723
25,7409.37,0.58831,0.63053,1.08857,0.7151,0.55112,0.60903,0.47496,0.94901,1.19542,1.32773,0.0007624,0.0007624,0.0007624
26,7704.28,0.59528,0.61882,1.08814,0.63787,0.59766,0.63091,0.48276,0.9423,1.15616,1.31751,0.0007525,0.0007525,0.0007525
27,7998.81,0.57798,0.60767,1.08289,0.75875,0.58644,0.63614,0.49937,0.92084,1.14906,1.30037,0.0007426,0.0007426,0.0007426
28,8293.73,0.58243,0.60549,1.08465,0.70142,0.55835,0.62122,0.48861,0.93195,1.18383,1.30262,0.0007327,0.0007327,0.0007327
29,8588.67,0.57948,0.59664,1.07836,0.70437,0.5861,0.6367,0.49961,0.93645,1.16908,1.30213,0.0007228,0.0007228,0.0007228
30,8883.57,0.57645,0.58558,1.0759,0.71323,0.5694,0.65236,0.51582,0.92715,1.17778,1.30199,0.0007129,0.0007129,0.0007129
31,9179.05,0.5714,0.57837,1.069,0.7347,0.58563,0.6492,0.52118,0.92154,1.16597,1.28112,0.000703,0.000703,0.000703
32,9474.43,0.57192,0.57525,1.06909,0.76718,0.57876,0.65031,0.5085,0.91351,1.13143,1.27653,0.0006931,0.0006931,0.0006931
33,9769.26,0.56339,0.55883,1.0675,0.77218,0.5623,0.63942,0.5014,0.90956,1.14678,1.27794,0.0006832,0.0006832,0.0006832
34,10063.7,0.55849,0.55376,1.067,0.74511,0.56075,0.64311,0.50565,0.92126,1.16704,1.29412,0.0006733,0.0006733,0.0006733
35,10358.2,0.55131,0.54228,1.0632,0.74735,0.56711,0.64461,0.50895,0.91291,1.14914,1.29491,0.0006634,0.0006634,0.0006634
36,10652.5,0.55485,0.53808,1.06318,0.76133,0.57789,0.65006,0.51482,0.90414,1.12576,1.27711,0.0006535,0.0006535,0.0006535
37,10947.3,0.55432,0.53582,1.05627,0.7097,0.60522,0.6392,0.50357,0.91978,1.16501,1.28414,0.0006436,0.0006436,0.0006436
38,11242,0.54156,0.52388,1.05544,0.75492,0.58147,0.64835,0.50724,0.91123,1.14988,1.28381,0.0006337,0.0006337,0.0006337
39,11536.9,0.54374,0.52469,1.04877,0.73235,0.58557,0.65198,0.51425,0.90687,1.14179,1.2775,0.0006238,0.0006238,0.0006238
40,11831.5,0.54026,0.51053,1.05051,0.70812,0.61594,0.65339,0.51346,0.90541,1.14193,1.28328,0.0006139,0.0006139,0.0006139
41,12126.4,0.54294,0.51214,1.0472,0.75566,0.5849,0.65156,0.51479,0.9072,1.15711,1.28393,0.000604,0.000604,0.000604
42,12420.9,0.53354,0.50073,1.03881,0.76303,0.59052,0.65714,0.51919,0.9021,1.14048,1.27614,0.0005941,0.0005941,0.0005941
43,12715.7,0.5277,0.4935,1.04229,0.81299,0.56863,0.65784,0.52178,0.90112,1.15496,1.27883,0.0005842,0.0005842,0.0005842
44,13010.8,0.52577,0.48879,1.03906,0.7968,0.57335,0.66125,0.51766,0.90555,1.16567,1.28219,0.0005743,0.0005743,0.0005743
45,13305.7,0.52337,0.48282,1.03886,0.74481,0.59008,0.6597,0.51864,0.90549,1.16939,1.28561,0.0005644,0.0005644,0.0005644
46,13600.3,0.51837,0.47288,1.04075,0.69551,0.62769,0.66109,0.51806,0.9046,1.16756,1.28639,0.0005545,0.0005545,0.0005545
47,13895.1,0.51596,0.47355,1.03302,0.71413,0.61267,0.65809,0.51782,0.90806,1.16283,1.29552,0.0005446,0.0005446,0.0005446
48,14189.1,0.51985,0.46911,1.03436,0.62133,0.6278,0.65531,0.51885,0.90729,1.15928,1.29364,0.0005347,0.0005347,0.0005347
49,14483.4,0.51383,0.45939,1.03141,0.65515,0.60974,0.65198,0.5175,0.90903,1.16112,1.29497,0.0005248,0.0005248,0.0005248
50,14778.3,0.51261,0.46323,1.03008,0.63011,0.62977,0.6558,0.51907,0.91112,1.16046,1.30034,0.0005149,0.0005149,0.0005149
51,15072.7,inf,0.45213,1.02384,0.64213,0.6346,0.65654,0.51977,0.91028,1.16097,1.2993,0.000505,0.000505,0.000505
52,15367.1,0.50483,0.44476,1.02509,0.64239,0.62768,0.65802,0.51989,0.90999,1.15929,1.30054,0.0004951,0.0004951,0.0004951
53,15662,0.50683,0.44472,1.02528,0.65491,0.63042,0.66149,0.5221,0.91134,1.16416,1.3024,0.0004852,0.0004852,0.0004852
54,15957.2,0.49414,0.43497,1.01844,0.6495,0.63733,0.66545,0.5242,0.91167,1.16479,1.30297,0.0004753,0.0004753,0.0004753
55,16252.2,0.49551,0.43346,1.02239,0.66134,0.63226,0.67107,0.52871,0.91306,1.163,1.30648,0.0004654,0.0004654,0.0004654
56,16547.7,0.49506,0.43247,1.01713,0.6608,0.63318,0.67079,0.5264,0.91278,1.16565,1.30725,0.0004555,0.0004555,0.0004555
57,16842.3,0.48841,0.42478,1.01519,0.65601,0.63164,0.66687,0.52643,0.91353,1.1702,1.30816,0.0004456,0.0004456,0.0004456
58,17136.8,0.49169,0.42261,1.01502,0.72788,0.62129,0.66849,0.52832,0.91189,1.17277,1.30643,0.0004357,0.0004357,0.0004357
59,17431.7,0.48539,0.41778,1.00991,0.72783,0.6236,0.67173,0.53136,0.91185,1.17729,1.30485,0.0004258,0.0004258,0.0004258
60,17726.7,0.47653,0.41114,1.0098,0.73146,0.62347,0.67408,0.53211,0.91194,1.17819,1.30451,0.0004159,0.0004159,0.0004159
